impl,config,mesh_file,num_triangles,grid_res,elapsed_ms
pthreads,pth_1t,data/airplane_0001.off,104773,32,7.471000
pthreads,pth_4t,data/airplane_0001.off,104773,32,3.757000
pthreads,pth_8t,data/airplane_0001.off,104773,32,3.318000
pthreads,pth_1t,data/airplane_0001.off,104773,32,5.959000
pthreads,pth_4t,data/airplane_0001.off,104773,32,4.134000
pthreads,pth_8t,data/airplane_0001.off,104773,32,6.041000
pthreads,pth_1t,data/airplane_0001.off,104773,32,6.283000
pthreads,pth_4t,data/airplane_0001.off,104773,32,3.308000
pthreads,pth_8t,data/airplane_0001.off,104773,32,4.683000
pthreads,pth_1t,data/chair_0001.off,2234,32,0.463000
pthreads,pth_4t,data/chair_0001.off,2234,32,0.286000
pthreads,pth_8t,data/chair_0001.off,2234,32,0.354000
pthreads,pth_1t,data/chair_0001.off,2234,32,0.428000
pthreads,pth_4t,data/chair_0001.off,2234,32,0.281000
pthreads,pth_8t,data/chair_0001.off,2234,32,0.275000
pthreads,pth_1t,data/chair_0001.off,2234,32,0.419000
pthreads,pth_4t,data/chair_0001.off,2234,32,0.276000
pthreads,pth_8t,data/chair_0001.off,2234,32,0.406000
pthreads,pth_1t,data/table_0001.off,8652,32,1.084000
pthreads,pth_4t,data/table_0001.off,8652,32,1.974000
pthreads,pth_8t,data/table_0001.off,8652,32,2.656000
pthreads,pth_1t,data/table_0001.off,8652,32,1.086000
pthreads,pth_4t,data/table_0001.off,8652,32,1.946000
pthreads,pth_8t,data/table_0001.off,8652,32,2.942000
pthreads,pth_1t,data/table_0001.off,8652,32,1.102000
pthreads,pth_4t,data/table_0001.off,8652,32,1.870000
pthreads,pth_8t,data/table_0001.off,8652,32,2.951000
pthreads,pth_1t,data/guitar_0001.off,11325,32,0.922000
pthreads,pth_4t,data/guitar_0001.off,11325,32,0.938000
pthreads,pth_8t,data/guitar_0001.off,11325,32,1.883000
pthreads,pth_1t,data/guitar_0001.off,11325,32,0.876000
pthreads,pth_4t,data/guitar_0001.off,11325,32,0.956000
pthreads,pth_8t,data/guitar_0001.off,11325,32,1.585000
pthreads,pth_1t,data/guitar_0001.off,11325,32,0.919000
pthreads,pth_4t,data/guitar_0001.off,11325,32,0.946000
pthreads,pth_8t,data/guitar_0001.off,11325,32,1.861000
pthreads,pth_1t,data/lamp_0001.off,15328,32,1.395000
pthreads,pth_4t,data/lamp_0001.off,15328,32,0.876000
pthreads,pth_8t,data/lamp_0001.off,15328,32,0.839000
pthreads,pth_1t,data/lamp_0001.off,15328,32,1.393000
pthreads,pth_4t,data/lamp_0001.off,15328,32,0.797000
pthreads,pth_8t,data/lamp_0001.off,15328,32,0.986000
pthreads,pth_1t,data/lamp_0001.off,15328,32,1.394000
pthreads,pth_4t,data/lamp_0001.off,15328,32,0.829000
pthreads,pth_8t,data/lamp_0001.off,15328,32,0.834000
pthreads,pth_1t,data/person_0001.off,22509,32,1.690000
pthreads,pth_4t,data/person_0001.off,22509,32,0.664000
pthreads,pth_8t,data/person_0001.off,22509,32,0.914000
pthreads,pth_1t,data/person_0001.off,22509,32,1.695000
pthreads,pth_4t,data/person_0001.off,22509,32,0.996000
pthreads,pth_8t,data/person_0001.off,22509,32,0.755000
pthreads,pth_1t,data/person_0001.off,22509,32,1.756000
pthreads,pth_4t,data/person_0001.off,22509,32,0.714000
pthreads,pth_8t,data/person_0001.off,22509,32,1.017000
pthreads,pth_1t,data/bookshelf_0001.off,96,32,0.378000
pthreads,pth_4t,data/bookshelf_0001.off,96,32,0.193000
pthreads,pth_8t,data/bookshelf_0001.off,96,32,0.105000
pthreads,pth_1t,data/bookshelf_0001.off,96,32,0.153000
pthreads,pth_4t,data/bookshelf_0001.off,96,32,0.069000
pthreads,pth_8t,data/bookshelf_0001.off,96,32,0.110000
pthreads,pth_1t,data/bookshelf_0001.off,96,32,0.150000
pthreads,pth_4t,data/bookshelf_0001.off,96,32,0.089000
pthreads,pth_8t,data/bookshelf_0001.off,96,32,0.139000
pthreads,pth_1t,data/bottle_0001.off,1070,32,0.414000
pthreads,pth_4t,data/bottle_0001.off,1070,32,0.296000
pthreads,pth_8t,data/bottle_0001.off,1070,32,0.285000
pthreads,pth_1t,data/bottle_0001.off,1070,32,0.406000
pthreads,pth_4t,data/bottle_0001.off,1070,32,0.306000
pthreads,pth_8t,data/bottle_0001.off,1070,32,0.255000
pthreads,pth_1t,data/bottle_0001.off,1070,32,0.414000
pthreads,pth_4t,data/bottle_0001.off,1070,32,0.302000
pthreads,pth_8t,data/bottle_0001.off,1070,32,0.308000
pthreads,pth_1t,data/piano_0001.off,16719,32,1.659000
pthreads,pth_4t,data/piano_0001.off,16719,32,1.958000
pthreads,pth_8t,data/piano_0001.off,16719,32,2.644000
pthreads,pth_1t,data/piano_0001.off,16719,32,1.682000
