impl,config,mesh_file,num_triangles,grid_res,elapsed_ms
sequential,seq_1t,data/airplane_0001.off,104773,32,17.795341
sequential,seq_1t,data/airplane_0001.off,104773,32,18.554844
sequential,seq_1t,data/airplane_0001.off,104773,32,18.203688
sequential,seq_1t,data/chair_0001.off,2234,32,1.394160
sequential,seq_1t,data/chair_0001.off,2234,32,1.351349
sequential,seq_1t,data/chair_0001.off,2234,32,1.212355
sequential,seq_1t,data/table_0001.off,8652,32,2.689535
sequential,seq_1t,data/table_0001.off,8652,32,3.065602
sequential,seq_1t,data/table_0001.off,8652,32,2.460508
sequential,seq_1t,data/guitar_0001.off,11325,32,2.317277
sequential,seq_1t,data/guitar_0001.off,11325,32,2.619845
sequential,seq_1t,data/guitar_0001.off,11325,32,2.378673
sequential,seq_1t,data/lamp_0001.off,15328,32,3.603141
sequential,seq_1t,data/lamp_0001.off,15328,32,4.027435
sequential,seq_1t,data/lamp_0001.off,15328,32,3.922565
sequential,seq_1t,data/person_0001.off,22509,32,5.368553
sequential,seq_1t,data/person_0001.off,22509,32,5.259354
sequential,seq_1t,data/person_0001.off,22509,32,5.261832
sequential,seq_1t,data/bookshelf_0001.off,96,32,0.339652
sequential,seq_1t,data/bookshelf_0001.off,96,32,0.312721
sequential,seq_1t,data/bookshelf_0001.off,96,32,0.345353
sequential,seq_1t,data/bottle_0001.off,1070,32,1.152616
sequential,seq_1t,data/bottle_0001.off,1070,32,1.166652
sequential,seq_1t,data/bottle_0001.off,1070,32,1.307696
sequential,seq_1t,data/piano_0001.off,16719,32,4.179285
sequential,seq_1t,data/piano_0001.off,16719,32,4.204716
sequential,seq_1t,data/piano_0001.off,16719,32,4.707055
sequential,seq_1t,data/airplane_0001.off,104773,64,26.710299
sequential,seq_1t,data/airplane_0001.off,104773,64,27.202556
sequential,seq_1t,data/airplane_0001.off,104773,64,26.206395
sequential,seq_1t,data/chair_0001.off,2234,64,7.472308
sequential,seq_1t,data/chair_0001.off,2234,64,3.451916
sequential,seq_1t,data/chair_0001.off,2234,64,3.377972
sequential,seq_1t,data/table_0001.off,8652,64,5.437748
sequential,seq_1t,data/table_0001.off,8652,64,5.390190
sequential,seq_1t,data/table_0001.off,8652,64,5.738617
sequential,seq_1t,data/guitar_0001.off,11325,64,3.868022
sequential,seq_1t,data/guitar_0001.off,11325,64,3.921522
sequential,seq_1t,data/guitar_0001.off,11325,64,3.795445
sequential,seq_1t,data/lamp_0001.off,15328,64,9.322584
sequential,seq_1t,data/lamp_0001.off,15328,64,9.289788
sequential,seq_1t,data/lamp_0001.off,15328,64,9.621599
sequential,seq_1t,data/person_0001.off,22509,64,10.589258
sequential,seq_1t,data/person_0001.off,22509,64,9.391959
sequential,seq_1t,data/person_0001.off,22509,64,9.354480
sequential,seq_1t,data/bookshelf_0001.off,96,64,1.053842
sequential,seq_1t,data/bookshelf_0001.off,96,64,1.063107
sequential,seq_1t,data/bookshelf_0001.off,96,64,1.074152
sequential,seq_1t,data/bottle_0001.off,1070,64,3.489327
sequential,seq_1t,data/bottle_0001.off,1070,64,3.412647
sequential,seq_1t,data/bottle_0001.off,1070,64,3.561533
sequential,seq_1t,data/piano_0001.off,16719,64,7.424629
sequential,seq_1t,data/piano_0001.off,16719,64,7.573345
sequential,seq_1t,data/piano_0001.off,16719,64,7.640887
sequential,seq_1t,data/airplane_0001.off,104773,128,47.747413
sequential,seq_1t,data/airplane_0001.off,104773,128,48.185353
sequential,seq_1t,data/airplane_0001.off,104773,128,47.243627
sequential,seq_1t,data/chair_0001.off,2234,128,14.502662
sequential,seq_1t,data/chair_0001.off,2234,128,11.717741
sequential,seq_1t,data/chair_0001.off,2234,128,12.073684
sequential,seq_1t,data/table_0001.off,8652,128,14.337136
sequential,seq_1t,data/table_0001.off,8652,128,14.745779
sequential,seq_1t,data/table_0001.off,8652,128,14.938276
sequential,seq_1t,data/guitar_0001.off,11325,128,7.888006
sequential,seq_1t,data/guitar_0001.off,11325,128,7.532914
sequential,seq_1t,data/guitar_0001.off,11325,128,7.671734
sequential,seq_1t,data/lamp_0001.off,15328,128,38.734213
sequential,seq_1t,data/lamp_0001.off,15328,128,38.410271
sequential,seq_1t,data/lamp_0001.off,15328,128,38.255741
sequential,seq_1t,data/person_0001.off,22509,128,21.067835
sequential,seq_1t,data/person_0001.off,22509,128,21.328190
sequential,seq_1t,data/person_0001.off,22509,128,20.629717
sequential,seq_1t,data/bookshelf_0001.off,96,128,3.677676
sequential,seq_1t,data/bookshelf_0001.off,96,128,4.686773
sequential,seq_1t,data/bookshelf_0001.off,96,128,3.951768
sequential,seq_1t,data/bottle_0001.off,1070,128,14.285474
sequential,seq_1t,data/bottle_0001.off,1070,128,16.075240
sequential,seq_1t,data/bottle_0001.off,1070,128,15.126830
sequential,seq_1t,data/piano_0001.off,16719,128,16.825038
sequential,seq_1t,data/piano_0001.off,16719,128,17.474603
sequential,seq_1t,data/piano_0001.off,16719,128,16.871072
