impl,config,mesh_file,mesh_display,grid_res,num_triangles,runs,mean_ms,stdev_ms,min_ms,max_ms,speedup_vs_seq
openmp,omp_8t,data/chair_0001.off,chair_0001.off,32,2234,3,9.784133,7.004815,1.696700,13.939694,0.134840
pthreads,pth_1t,data/chair_0001.off,chair_0001.off,32,2234,3,1.749167,0.408083,1.492645,2.219742,0.754238
pthreads,pth_4t,data/chair_0001.off,chair_0001.off,32,2234,3,2.044136,1.678400,1.062163,3.982128,0.645401
pthreads,pth_8t,data/chair_0001.off,chair_0001.off,32,2234,3,1.286583,0.193602,1.090005,1.477064,1.025420
mpi,mpi_1p,data/chair_0001.off,chair_0001.off,32,2234,3,2.034266,0.606661,1.445485,2.657352,0.648533
mpi,mpi_4p,data/chair_0001.off,chair_0001.off,32,2234,3,0.450604,0.016476,0.434209,0.467160,2.927821
mpi,mpi_8p,data/chair_0001.off,chair_0001.off,32,2234,3,1.095806,0.549638,0.637454,1.705162,1.203943
cuda,cuda_64tpb,data/chair_0001.off,chair_0001.off,32,2234,3,0.574805,0.100281,0.462848,0.656384,2.295191
cuda,cuda_128tpb,data/chair_0001.off,chair_0001.off,32,2234,3,0.574464,0.082220,0.505856,0.665600,2.296555
cuda,cuda_256tpb,data/chair_0001.off,chair_0001.off,32,2234,3,1.350251,1.423877,0.504640,2.994176,0.977069
sequential,seq_1t,data/guitar_0001.off,guitar_0001.off,32,11325,3,2.438598,0.159938,2.317277,2.619845,1.000000
openmp,omp_1t,data/guitar_0001.off,guitar_0001.off,32,11325,3,2.381938,0.052931,2.321660,2.420828,1.023787
openmp,omp_4t,data/guitar_0001.off,guitar_0001.off,32,11325,3,1.691930,0.957675,1.086061,2.796010,1.441311
openmp,omp_8t,data/guitar_0001.off,guitar_0001.off,32,11325,3,6.357983,5.036867,0.766986,10.541140,0.383549
pthreads,pth_1t,data/guitar_0001.off,guitar_0001.off,32,11325,3,2.868945,0.127296,2.729894,2.979736,0.849998
pthreads,pth_4t,data/guitar_0001.off,guitar_0001.off,32,11325,3,1.657595,1.204924,0.927190,3.048333,1.471167
pthreads,pth_8t,data/guitar_0001.off,guitar_0001.off,32,11325,3,1.076444,0.089982,0.976223,1.150294,2.265420
mpi,mpi_1p,data/guitar_0001.off,guitar_0001.off,32,11325,3,2.668186,0.317777,2.369316,3.001985,0.913954
mpi,mpi_4p,data/guitar_0001.off,guitar_0001.off,32,11325,3,3.482726,2.043234,2.294912,5.842031,0.700198
mpi,mpi_8p,data/guitar_0001.off,guitar_0001.off,32,11325,3,6.667127,5.872386,2.454085,13.375021,0.365764
cuda,cuda_64tpb,data/guitar_0001.off,guitar_0001.off,32,11325,3,0.596213,0.089732,0.536416,0.699392,4.090144
cuda,cuda_128tpb,data/guitar_0001.off,guitar_0001.off,32,11325,3,0.337579,0.038319,0.308224,0.380928,7.223793
cuda,cuda_256tpb,data/guitar_0001.off,guitar_0001.off,32,11325,3,0.383317,0.051571,0.347136,0.442368,6.361826
sequential,seq_1t,data/lamp_0001.off,lamp_0001.off,32,15328,3,3.851047,0.221003,3.603141,4.027435,1.000000
openmp,omp_1t,data/lamp_0001.off,lamp_0001.off,32,15328,3,3.876144,0.386174,3.624304,4.320753,0.993525
openmp,omp_4t,data/lamp_0001.off,lamp_0001.off,32,15328,3,1.351429,0.157454,1.237124,1.531025,2.849611
openmp,omp_8t,data/lamp_0001.off,lamp_0001.off,32,15328,3,11.273067,6.356402,3.946711,15.319950,0.341615
pthreads,pth_1t,data/lamp_0001.off,lamp_0001.off,32,15328,3,4.361386,0.142743,4.264761,4.525342,0.882987
pthreads,pth_4t,data/lamp_0001.off,lamp_0001.off,32,15328,3,2.834575,0.283391,2.661620,3.161626,1.358598
pthreads,pth_8t,data/lamp_0001.off,lamp_0001.off,32,15328,3,2.949404,0.381217,2.701442,3.388365,1.305704
mpi,mpi_1p,data/lamp_0001.off,lamp_0001.off,32,15328,3,4.519192,1.022176,3.815575,5.691693,0.852154
mpi,mpi_4p,data/lamp_0001.off,lamp_0001.off,32,15328,3,2.850126,0.300816,2.504338,3.051535,1.351185
mpi,mpi_8p,data/lamp_0001.off,lamp_0001.off,32,15328,3,1.871985,0.359811,1.604467,2.281043,2.057199
cuda,cuda_64tpb,data/lamp_0001.off,lamp_0001.off,32,15328,3,0.802795,0.121394,0.678912,0.921536,4.797051
cuda,cuda_128tpb,data/lamp_0001.off,lamp_0001.off,32,15328,3,0.945088,0.235390,0.717824,1.187840,4.074803
cuda,cuda_256tpb,data/lamp_0001.off,lamp_0001.off,32,15328,3,0.929781,0.400685,0.674784,1.391616,4.141885
sequential,seq_1t,data/person_0001.off,person_0001.off,32,22509,3,5.296580,0.062343,5.259354,5.368553,1.000000
openmp,omp_1t,data/person_0001.off,person_0001.off,32,22509,3,5.332205,0.170283,5.136735,5.448373,0.993319
openmp,omp_4t,data/person_0001.off,person_0001.off,32,22509,3,2.240183,0.248554,2.065034,2.524661,2.364351
openmp,omp_8t,data/person_0001.off,person_0001.off,32,22509,3,17.989768,2.648502,15.031065,20.139286,0.294422
pthreads,pth_1t,data/person_0001.off,person_0001.off,32,22509,3,5.905020,0.151251,5.778674,6.072617,0.896962
pthreads,pth_4t,data/person_0001.off,person_0001.off,32,22509,3,2.117232,0.139536,1.972511,2.250929,2.501653
pthreads,pth_8t,data/person_0001.off,person_0001.off,32,22509,3,2.014671,0.160728,1.909234,2.199661,2.629004
mpi,mpi_1p,data/person_0001.off,person_0001.off,32,22509,3,6.346784,1.543079,5.240720,8.109593,0.834530
mpi,mpi_4p,data/person_0001.off,person_0001.off,32,22509,3,3.020288,0.193901,2.877789,3.241097,1.753667
mpi,mpi_8p,data/person_0001.off,person_0001.off,32,22509,3,2.645601,0.606697,1.949010,3.058330,2.002033
cuda,cuda_64tpb,data/person_0001.off,person_0001.off,32,22509,3,0.381547,0.047323,0.342016,0.433984,13.881866
cuda,cuda_128tpb,data/person_0001.off,person_0001.off,32,22509,3,1.038283,1.093473,0.360448,2.299744,5.101289
cuda,cuda_256tpb,data/person_0001.off,person_0001.off,32,22509,3,0.375733,0.042880,0.345088,0.424736,14.096646
sequential,seq_1t,data/piano_0001.off,piano_0001.off,32,16719,3,4.363685,0.297639,4.179285,4.707055,1.000000
openmp,omp_1t,data/piano_0001.off,piano_0001.off,32,16719,3,4.468129,0.232169,4.212596,4.666108,0.976625
openmp,omp_4t,data/piano_0001.off,piano_0001.off,32,16719,3,2.112643,0.814101,1.595830,3.051078,2.065510
openmp,omp_8t,data/piano_0001.off,piano_0001.off,32,16719,3,9.679543,9.550323,1.276415,20.065705,0.450815
pthreads,pth_1t,data/piano_0001.off,piano_0001.off,32,16719,3,4.888515,0.034700,4.855735,4.924860,0.892640
pthreads,pth_4t,data/piano_0001.off,piano_0001.off,32,16719,3,2.405442,0.637947,1.918036,3.127479,1.814089
pthreads,pth_8t,data/piano_0001.off,piano_0001.off,32,16719,3,1.883052,0.231910,1.744248,2.150777,2.317348
mpi,mpi_1p,data/piano_0001.off,piano_0001.off,32,16719,3,4.476985,0.058517,4.426053,4.540905,0.974693
mpi,mpi_4p,data/piano_0001.off,piano_0001.off,32,16719,3,4.051027,1.748943,2.744649,6.037946,1.077180
mpi,mpi_8p,data/piano_0001.off,piano_0001.off,32,16719,3,2.830964,0.248068,2.621088,3.104727,1.541413
cuda,cuda_64tpb,data/piano_0001.off,piano_0001.off,32,16719,3,0.920235,0.241574,0.775168,1.199104,4.741927
cuda,cuda_128tpb,data/piano_0001.off,piano_0001.off,32,16719,3,1.167019,0.306729,0.826368,1.421312,3.739174
cuda,cuda_256tpb,data/piano_0001.off,piano_0001.off,32,16719,3,0.832789,0.035971,0.798720,0.870400,5.239843
sequential,seq_1t,data/table_0001.off,table_0001.off,32,8652,3,2.738548,0.305510,2.460508,3.065602,1.000000
openmp,omp_1t,data/table_0001.off,table_0001.off,32,8652,3,2.366228,0.023487,2.339331,2.382680,1.157347
openmp,omp_4t,data/table_0001.off,table_0001.off,32,8652,3,1.957531,0.974310,1.199983,3.056632,1.398981
openmp,omp_8t,data/table_0001.off,table_0001.off,32,8652,3,3.692591,3.461924,1.077830,7.618594,0.741633
pthreads,pth_1t,data/table_0001.off,table_0001.off,32,8652,3,2.932375,0.085000,2.867827,3.028682,0.933901
pthreads,pth_4t,data/table_0001.off,table_0001.off,32,8652,3,1.595761,0.200551,1.466854,1.826821,1.716140
pthreads,pth_8t,data/table_0001.off,table_0001.off,32,8652,3,1.619794,0.419260,1.368173,2.103786,1.690677
mpi,mpi_1p,data/table_0001.off,table_0001.off,32,8652,3,2.505176,0.149645,2.387012,2.673444,1.093156
mpi,mpi_4p,data/table_0001.off,table_0001.off,32,8652,3,2.394478,0.258917,2.188002,2.684969,1.143693
mpi,mpi_8p,data/table_0001.off,table_0001.off,32,8652,3,2.864336,1.071686,2.176374,4.099126,0.956085
cuda,cuda_64tpb,data/table_0001.off,table_0001.off,32,8652,3,0.608160,0.124369,0.502784,0.745344,4.503006
cuda,cuda_128tpb,data/table_0001.off,table_0001.off,32,8652,3,0.483264,0.023552,0.459776,0.506880,5.666775
cuda,cuda_256tpb,data/table_0001.off,table_0001.off,32,8652,3,0.673717,0.243597,0.474112,0.945152,4.064833
sequential,seq_1t,data/airplane_0001.off,airplane_0001.off,64,104773,3,26.706417,0.498092,26.206395,27.202556,1.000000
